pair_id,model_a,model_b,size_a,size_b,t_semantic,t_structural,t_behavioral,t_total,behavioral_timed_out_a,behavioral_timed_out_b,structural_overall,behavioral_score,error
52_113,model_53,model_114,18,17,0.05211454100208357,0.0001413749996572733,0.05489037500228733,0.10714712500339374,False,False,0.13115942028985506,0.0,
52_114,model_53,model_115,18,8,0.02072450000559911,0.00011324998922646046,0.05326529199373908,0.07410370800062083,False,False,0.0775,0.0,
52_115,model_53,model_116,18,31,0.09583370899781585,0.00019895800505764782,0.06661341598373838,0.1626469159964472,False,False,0.10517671517671517,0.0,
52_116,model_53,model_117,18,19,0.05335479200584814,0.00015229202108457685,0.07071175001328811,0.12421962499502115,False,False,0.11485507246376811,0.0,
52_117,model_53,model_118,18,37,0.12647037499118596,0.00022866600193083286,0.057854542013956234,0.18455437500961125,False,False,0.06978723404255319,0.0,
52_118,model_53,model_119,18,34,0.08983362501021475,0.00022479199105873704,0.06006637500831857,0.15012579099857248,False,False,0.10969696969696972,0.0,
52_119,model_53,model_120,18,39,0.0773326670168899,0.0002758750051725656,0.06773549999343231,0.14534504199400544,False,False,0.0925,0.0,
52_120,model_53,model_121,18,7,0.016464499989524484,0.00011095800437033176,0.053580792009597644,0.07015691700507887,False,False,0.08666666666666667,0.0,
52_121,model_53,model_122,18,32,0.07739074999699369,0.0002229590027127415,0.06369512499077246,0.14130970800761133,False,False,0.061428571428571416,0.0,
52_122,model_53,model_123,18,15,0.04034466700977646,0.0001419589971192181,0.05428479201509617,0.09477216601953842,False,False,0.1275,0.0,
52_123,model_53,model_124,18,22,0.05624962502042763,0.0001670840138103813,0.055926417000591755,0.11234391701873392,False,False,0.13,0.0,
52_124,model_53,model_125,18,26,0.056373916973825544,0.00019112500012852252,0.08395841700257733,0.1405245420173742,False,False,0.07666666666666666,0.0,
52_125,model_53,model_126,18,21,0.04204824997577816,0.0001749170187395066,0.12173345900373533,0.16395758299040608,False,False,0.07076923076923075,0.0,
52_126,model_53,model_127,18,17,0.04514095900231041,0.00016404199413955212,0.05575283299549483,0.10105875000590459,False,False,0.06477272727272727,0.0,
52_127,model_53,model_128,18,23,0.06486966699594632,0.00017333301366306841,0.0566218750027474,0.12166587501997128,False,False,0.11407407407407405,0.0,
52_128,model_53,model_129,18,25,0.06189908299711533,0.00018462500884197652,0.05967849999433383,0.12176308300695382,False,False,0.11148148148148147,0.0,
52_129,model_53,model_130,18,33,0.08304600001429208,0.00022066698875278234,0.06497683300403878,0.14824433301691897,False,False,0.13493589743589743,0.0,
52_130,model_53,model_131,18,15,0.04914541597827338,0.00013216599472798407,0.053554999991320074,0.10283329198136926,False,False,0.15217391304347827,0.0,
52_131,model_53,model_132,18,25,0.06304512498900294,0.00017441701493225992,0.055816999985836446,0.11903733300277963,False,False,0.09107142857142857,0.0,
52_132,model_53,model_133,18,5,0.005231000017374754,0.0001007499813567847,0.05338945900439285,0.058721959008835256,False,False,0.06785714285714285,0.0,
52_133,model_53,model_134,18,13,0.03032029198948294,0.00012512499233707786,0.05345674999989569,0.08390295898425393,False,False,0.12388888888888888,0.0,
52_134,model_53,model_135,18,13,0.030267750000348315,0.00012487501953728497,0.05376891698688269,0.08416229198337533,False,False,0.12388888888888888,0.0,
52_135,model_53,model_136,18,7,0.017647833010414615,0.00010699999984353781,0.05307541598449461,0.07083091698586941,False,False,0.08666666666666667,0.0,
52_136,model_53,model_137,18,8,0.021845957991899922,0.00011424999684095383,0.05332091700984165,0.07528183399699628,False,False,0.11125,0.0,
52_137,model_53,model_138,18,5,0.016435208002803847,0.00010129099246114492,0.052826291997916996,0.0693635419884231,False,False,0.06000000000000001,0.0,
52_138,model_53,model_139,18,14,0.02842149999924004,0.0001372499973513186,0.05470249999780208,0.08326200000010431,False,False,0.1388888888888889,0.0,
